date usd_value
2020-08-23 411.82
2020-08-30 383.85
2020-09-06 421.06
2020-09-13 367.11
2020-09-20 381.64
2020-09-27 335.38
2020-10-04 360.39
2020-10-11 344.08
2020-10-18 377.09
2020-10-25 406.41
2020-11-01 389.37
2020-11-08 407.35
2020-11-15 461.07
2020-11-22 474.62
2020-11-29 522.07
2020-12-06 606.35
2020-12-13 562.86
2020-12-20 650.51
2020-12-27 587.57
2021-01-03 741.34
2021-01-10 1220.63
2021-01-17 1167.84
2021-01-24 1253.84
2021-01-31 1308.30
2021-02-07 1637.63
2021-02-14 1760.33
2021-02-21 1906.67
2021-02-28 1607.18
2021-03-07 1561.03
2021-03-14 1791.27
2021-03-21 1809.05
2021-03-28 1592.39
2021-04-04 1936.84
2021-04-11 2028.58
2021-04-18 2463.81
2021-04-25 2488.36
2021-05-02 2742.71
2021-05-09 3498.41
2021-05-16 3825.29
2021-05-23 2698.30
2021-05-30 2768.75
2021-06-06 2801.99
2021-06-13 2531.30
2021-06-20 2396.91
2021-06-27 1963.86
2021-07-04 2149.53
2021-07-11 2188.81
2021-07-18 1945.34
2021-07-25 2002.53
2021-08-01 2309.49
2021-08-08 2724.56
2021-08-15 3109.17
2021-08-22 3046.74
2021-08-29 3135.04
2021-09-05 3773.35
2021-09-12 3496.03
2021-09-19 3598.54
2021-09-26 3114.27
2021-10-03 2991.28
2021-10-10 3577.92
2021-10-17 3708.24
2021-10-24 4161.94
2021-10-31 4129.32
2021-11-07 4531.30
2021-11-14 4699.43
2021-11-21 4177.74
2021-11-28 4400.97
2021-12-05 4539.44
2021-12-12 4289.51
2021-12-19 4035.20
2021-12-26 3996.40
2022-01-02 3709.23
2022-01-09 3432.43
2022-01-16 3327.90
2022-01-23 3157.35
2022-01-30 2428.14
2022-02-06 2647.19
2022-02-13 3191.05
2022-02-20 3027.82
2022-02-27 2466.48
2022-03-06 2887.21
2022-03-13 2616.99
2022-03-20 2789.74
2022-03-27 3060.21
2022-04-03 3364.80
2022-04-10 3219.43
2022-04-17 3074.91
2022-04-24 3085.94
2022-05-01 2915.97
2022-05-08 2863.34
2022-05-15 1953.82
2022-05-22 1971.13
2022-05-29 1875.87
2022-06-05 1824.00
2022-06-12 1799.54
2022-06-19 1145.19
2022-06-26 1103.36
2022-07-03 1047.52
2022-07-10 1199.88
2022-07-17 1126.97
2022-07-24 1523.05
2022-07-31 1668.31
2022-08-07 1622.43
2022-08-14 1892.71
2022-08-21 1860.07
2022-08-28 1696.41
2022-09-04 1559.42
2022-09-11 1629.81
2022-09-18 1563.32
2022-09-25 1286.04
2022-10-02 1332.26
2022-10-09 1365.43
2022-10-16 1273.73
2022-10-23 1290.44
2022-10-30 1550.46
2022-11-06 1541.68
2022-11-13 1230.41
2022-11-20 1205.73
2022-11-27 1199.72
2022-12-04 1281.19
2022-12-11 1246.83
2022-12-18 1283.31
2022-12-25 1209.67
2023-01-01 1197.17
2023-01-08 1252.34
2023-01-15 1404.00
2023-01-22 1532.61
2023-01-29 1609.21
2023-02-05 1672.28
2023-02-12 1620.92
2023-02-19 1688.54
2023-02-26 1688.54
